True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year,Mar Up,Mar Down,Pred Up,Pred Down,Results
17854.3,17805.5965,48.7035,17854.3,17842.75,43.45,2,14,4,1,0,0,1,0
11913.5,11917.183,-3.683,11913.5,11919.45,-36.2,1,47,11,0,1,0,1,1
14680.8,14717.79575,-36.99575,14680.8,14702.5,-81.65,0,9,3,0,1,1,0,0
17414.5,17498.90775,-84.40775,17414.5,17468.15,-3.45,2,13,3,0,1,1,0,0
8380.05,8393.9845,-13.9345,8380.05,8396,47.95,4,13,3,0,1,0,1,1
12161.2,12183.1885,-21.9885,12161.2,12153.15,-61.3,3,2,1,1,0,1,0,1
8546.6,8458.2925,88.3075,8546.6,8478.1,-100.75,1,7,2,1,0,0,1,0
9424.25,9507.264,-83.014,9424.25,9587.8,387.75,0,12,3,0,1,0,1,1
8611.05,8598.679,12.371,8611.05,8628.35,-10.95,1,34,8,0,1,0,1,1
12251.25,12257.01925,-5.76925,12251.25,12261.1,38.9,4,1,1,0,1,0,1,1
17191.45,17302.31725,-110.86725,17191.45,17289,111.05,4,12,3,0,1,1,0,0
9048.45,9094.93275,-46.48275,9048.45,9082.2,-235.2,2,22,5,0,1,1,0,0
17614.1,17735.025,-120.925,17614.1,17731.45,48.9,1,5,1,0,1,1,0,0
11666.95,11643.78375,23.16625,11666.95,11667,-20.65,0,16,4,0,1,0,1,1
15208.65,15271.6255,-62.9755,15208.65,15272.65,-58.1,4,24,6,0,1,0,1,1
25217.1,25252.655,-35.555,25217.1,25250.5,105.7,3,36,9,0,1,1,0,0
17526.85,17546.58525,-19.73525,17526.85,17566.1,42.35,2,32,8,0,1,0,1,1
19789.2,19777.9925,11.2075,19789.2,19784,-26.6,2,47,11,1,0,0,1,0
10480.4,10486.46025,-6.06025,10480.4,10488.95,1,2,9,2,0,1,0,1,1
24449.3,24427.218,22.082,24449.3,24444.95,3.05,2,30,7,1,0,0,1,0
7691.45,7714.5755,-23.1255,7691.45,7717.65,-16.6,4,18,5,0,1,0,1,1
7859.3,7911.17925,-51.87925,7859.3,7908.1,0.3,0,16,4,0,1,1,0,0
8736.65,8757.03825,-20.38825,8736.65,8739,-38.8,3,7,2,0,1,1,0,0
17890,17903.5815,-13.5815,17890,17913.3,-92.15,0,2,1,0,1,0,1,1
17560.2,17536.116,24.084,17560.2,17568.15,49.3,2,42,10,0,1,0,1,1
17309.8,17389.89325,-80.09325,17309.8,17363.55,12.85,0,37,9,0,1,1,0,0
8447,8468.68725,-21.68725,8447,8470.6,28.2,1,29,7,0,1,0,1,1
10236.95,10202.1775,34.7725,10236.95,10207.4,-25.65,0,42,10,1,0,0,1,0
10506.9,10503.841,3.059,10506.9,10498.2,31.2,3,52,12,1,0,1,0,1
10527.55,10495.22975,32.32025,10527.55,10523.35,46.05,0,50,12,1,0,0,1,0
15907.95,16014.56675,-106.61675,15907.95,16021.1,194.65,3,19,5,0,1,0,1,1
8582.45,8579.56825,2.88175,8582.45,8581.5,-39.45,4,39,9,1,0,0,1,0
13465.4,13472.8025,-7.4025,13465.4,13458.1,-74.45,2,50,12,1,0,1,0,1
8308.55,8300.74775,7.80225,8308.55,8308.25,11.4,4,43,10,1,0,0,1,0
